codigo,complexity,n_classes,n_functions,loc,lloc,sloc,single_comments,comments,multilines,blank_lines,h1,h2,N1,N2,h,N,calculated_N,volume,difficulty,effort,bugs,time,imports,assignments,assignments_unique,kwds,kwds_unique,lt_numbers,lt_strings,lt_booleans,lgc_op,lgc_op_unique,and_op,or_op,not_op,arithmetic_op,arithmetic_op_unique,add_op,minus_op,mult_op,div_op,mod_op,power_op,div_floor_op,cmp_op,cmp_op_unique,equal_op,not_eq_op,lt_op,gt_op,less_op,greater_op,bitwise_op,bitwise_op_unique,bitwise_and,bitwise_or,bitwise_xor,bitwise_not,lshift_op,rshift_op,identity_op,membership_op,conditionals,ifs,elifs,elses,loops,whiles,fors,breaks,continues,builtin_f,builtin_f_unique,type_f,type_f_unique,lambdas,lpar,rpar,lsqb,rsqb,lbrace,rbrace,commas,colons,dots,prints,inputs,len,uident,uident_unique,uident_mean,uident_per_line,uident_chars
2535,8,0,0,19,19,19,0,0,0,0,7,18,15,34,25,49,94.71013448036484,227.5489532989615,6.611111111111111,1504.3514134764675,0.07584965109965383,83.57507852647042,0,14,1,8,4,12,5,0,5,1,5,0,0,7,3,3,0,2,2,0,0,0,7,3,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,1,0,0,0,12,4,4,1,0,16,16,0,0,0,0,2,3,0,2,4,0,36,7,2.1176470588235294,1.8,3.0
1079,7,0,0,24,15,15,4,4,0,5,7,22,20,42,29,62,117.75898006442377,301.1948216979095,6.681818181818182,2012.529035890577,0.10039827389930317,111.8071686605876,1,6,1,10,5,5,9,0,4,1,4,0,0,13,4,5,3,4,1,0,0,0,6,2,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,4,2,0,2,0,0,0,0,0,11,4,3,1,0,21,21,0,0,0,0,7,4,0,4,3,0,35,7,3.1818181818181817,1.4,2.2857142857142856
2179,4,0,0,22,14,13,1,4,7,1,5,9,5,10,14,15,40.13896548741762,57.110323830864054,2.7777777777777777,158.6397884190668,0.019036774610288017,8.813321578837044,1,8,1,7,5,5,2,0,0,0,0,0,0,5,5,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,2,0,2,0,0,7,6,2,1,0,11,11,3,3,0,0,2,3,0,1,1,0,30,12,2.3076923076923075,1.3043478260869565,2.8333333333333335
2530,5,0,0,15,15,15,0,0,0,0,7,14,11,23,21,34,72.95445336320968,149.33879237447786,5.75,858.6980561532478,0.04977959745815929,47.70544756406932,0,10,1,5,4,9,4,0,2,1,2,0,0,6,4,2,1,2,1,0,0,0,4,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,1,0,0,0,9,4,3,1,0,12,12,0,0,0,0,1,3,0,2,3,0,24,5,1.8461538461538463,1.5,2.0
3212,7,0,0,38,26,26,2,2,0,10,2,4,2,4,6,6,10.0,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052,2,16,1,14,5,13,4,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,2,2,0,0,4,0,4,0,0,13,6,6,2,0,18,18,8,8,0,0,13,6,2,3,2,1,57,16,2.1923076923076925,1.4615384615384615,6.375
2883,2,0,0,9,9,8,1,1,0,0,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297,1,5,1,4,4,3,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,6,6,1,1,0,10,10,4,4,0,0,2,2,0,1,1,0,20,9,2.5,2.0,3.2222222222222223
1492,6,0,0,14,11,11,0,0,0,3,5,21,15,30,26,45,103.84830635279079,211.51978731634918,3.5714285714285716,755.4278118441042,0.07050659577211639,41.9682117691169,0,6,1,6,4,14,1,0,2,1,2,0,0,8,2,4,0,4,0,0,0,0,5,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,1,2,1,0,0,0,0,0,4,4,1,1,0,7,7,0,0,0,0,1,4,0,1,1,0,17,3,1.7,1.1333333333333333,6.0
2793,2,0,0,8,6,6,0,0,0,2,4,6,4,8,10,12,23.509775004326936,39.863137138648355,2.6666666666666665,106.3016990363956,0.013287712379549451,5.905649946466422,0,4,1,1,1,4,1,0,0,0,0,0,0,3,3,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,3,1,1,0,4,4,0,0,0,0,0,1,0,1,1,0,9,2,1.5,1.0,9.0
1599,3,0,0,22,10,9,1,1,7,5,5,10,6,12,15,18,44.82892142331043,70.32403072095333,3.0,210.97209216286,0.02344134357365111,11.720671786825555,1,5,1,4,4,6,2,0,0,0,0,0,0,5,3,2,1,2,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,5,5,0,0,0,9,9,2,2,0,0,1,2,0,1,1,0,18,6,2,0.782608695652174,4.166666666666667
2938,1,0,0,9,7,7,0,0,0,2,4,10,7,14,14,21,41.219280948873624,79.95445336320968,2.8,223.8724694169871,0.026651484454403226,12.437359412054839,1,5,1,1,1,4,3,0,0,0,0,0,0,7,4,1,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,3,1,0,11,11,0,0,0,0,1,0,3,1,3,0,19,8,2.7142857142857144,1.9,3.25
825,1,0,0,21,7,6,4,4,5,6,3,9,6,12,12,18,33.28421251514428,64.52932501298082,2.0,129.05865002596164,0.02150977500432694,7.169925001442313,1,3,1,2,2,6,2,0,0,0,0,0,0,7,3,0,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,1,1,0,6,6,0,0,0,0,2,0,0,2,1,0,10,5,1.6666666666666667,0.45454545454545453,4.0
1651,7,0,0,40,19,18,11,12,5,6,2,13,11,22,15,33,50.105716335834195,128.92738965508113,1.6923076923076923,218.18481326244498,0.04297579655169371,12.121378514580277,1,9,1,10,7,19,8,0,0,0,0,0,0,7,2,6,0,1,0,0,0,0,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,4,1,1,0,1,0,0,5,4,1,1,0,12,12,12,12,0,0,1,7,2,2,1,0,28,8,1.6470588235294117,0.6829268292682927,4.125
2034,2,0,0,18,6,6,8,8,0,4,2,4,2,4,6,6,10.0,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052,0,4,1,1,1,3,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,3,2,1,0,8,8,0,0,0,0,0,1,0,1,2,0,7,2,1.1666666666666667,0.3684210526315789,3.5
1496,6,0,0,14,11,11,0,0,0,3,5,20,15,30,25,45,98.04820237218406,208.9735285398626,3.75,783.6507320244848,0.06965784284662087,43.536151779138045,0,6,1,6,4,13,1,0,2,1,2,0,0,8,2,4,0,4,0,0,0,0,5,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,1,2,1,0,0,0,0,0,4,4,1,1,0,7,7,0,0,0,0,1,4,0,1,1,0,18,3,1.8,1.2,6.0
